GUID 6cee2662e8884d7bad3a5d743f8222da
Type Melee
Useable Melee
Slot Any
ID 38405

Size_X 2
Size_Y 4
Size_Z 0.725
Size2_Z 0.6

Range 2
Strength 0
Weak 0.21
Strong 0.21
Stamina 0

Player_Damage 0
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 0
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 0
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0

Durability 0.2
