GUID b01e414db03747509e87ebc515744216
Type Throwable
Useable Throwable
ID 31475

Size_X 1
Size_Y 1
Size_Z 0.26

Player_Damage 275
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 1.0
Player_Skull_Multiplier 1.0

Zombie_Damage 275
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 1.0
Zombie_Skull_Multiplier 1.0

Animal_Damage 275
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 1.0
Animal_Skull_Multiplier 1.0
Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 30
Resource_Damage 1000
Object_Damage 500

Range 16
Explosion 31300

Fuse_Length 4

Explosive
