GUID 3879d9014aca4a17b3ed749cf7a9283e
Type Gun
Useable Gun
Slot Any
ID 38426

Size_X 2
Size_Y 2
Size_Z 0.36
Size2_Z 0.37

Sight 38428
Magazine 38427
Tactical 38429
Grip 38430

Ammo_Min 50
Ammo_Max 50

Safety
Semi

Caliber 38427

Firerate 100
Action Trigger
Range 5000

Player_Damage 0
Player_Leg_Multiplier 0.24
Player_Arm_Multiplier 0.25
Player_Spine_Multiplier 1.0
Player_Skull_Multiplier 2.23

Zombie_Damage 0
Zombie_Leg_Multiplier 0.24
Zombie_Arm_Multiplier 0.25
Zombie_Spine_Multiplier 0.5
Zombie_Skull_Multiplier 3.6

Animal_Damage 0
Animal_Leg_Multiplier 0.25
Animal_Spine_Multiplier 1.0
Animal_Skull_Multiplier 2.23

Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0

Durability 0.15

Spread_Aim 0
Spread_Hip 0

Recoil_Min_X 0
Recoil_Min_Y 0
Recoil_Max_X 0
Recoil_Max_Y 0

Recover_X 1
Recover_Y 1

Ballistic_Force 0

Gunshot_Rolloff_Distance 15

Shake_Min_X 0
Shake_Min_Y 0
Shake_Min_Z 0
Shake_Max_X 0
Shake_Max_Y 0
Shake_Max_Z 0

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 38426
Blueprint_0_Product 67
Blueprint_0_Products 2
Blueprint_0_Build 27
