GUID 318c7aea708341eb9d623fbbe43ad0df
Type Spawn
ID 30112

Tables 22
Table_0_Asset_ID 31438
Table_0_Weight 60
Table_1_Asset_ID 31433
Table_1_Weight 60
Table_2_Asset_ID 31336
Table_2_Weight 30
Table_3_Asset_ID 31327
Table_3_Weight 30
Table_4_Asset_ID 31489
Table_4_Weight 30
Table_5_Asset_ID 31357
Table_5_Weight 30
Table_6_Asset_ID 31447
Table_6_Weight 30
Table_7_Asset_ID 31330
Table_7_Weight 30
Table_8_Asset_ID 31474
Table_8_Weight 30
Table_9_Asset_ID 31435
Table_9_Weight 30
Table_10_Asset_ID 31449
Table_10_Weight 30
Table_11_Asset_ID 31455
Table_11_Weight 20
Table_12_Asset_ID 31457
Table_12_Weight 20
Table_13_Asset_ID 31367
Table_13_Weight 15
Table_14_Asset_ID 31460
Table_14_Weight 15
Table_15_Asset_ID 31316
Table_15_Weight 15
Table_16_Asset_ID 31324
Table_16_Weight 15
Table_17_Asset_ID 31391
Table_17_Weight 15
Table_18_Asset_ID 31494
Table_18_Weight 15
Table_19_Asset_ID 31343
Table_19_Weight 10
Table_20_Asset_ID 31346
Table_20_Weight 10
Table_21_Asset_ID 31303
Table_21_Weight 10
