GUID eb09c8d1b17f4fd88fb8f948f8df8686
Type Spawn
ID 32302

Tables 25
Table_0_Asset_ID 31469
Table_0_Weight 15
Table_1_Asset_ID 31472
Table_1_Weight 15
Table_2_Asset_ID 31473
Table_2_Weight 15
Table_3_Asset_ID 31463
Table_3_Weight 15
Table_4_Asset_ID 31389
Table_4_Weight 15
Table_5_Asset_ID 31470
Table_5_Weight 15
Table_6_Asset_ID 31471
Table_6_Weight 15
Table_7_Asset_ID 32314
Table_7_Weight 5
Table_8_Asset_ID 31464
Table_8_Weight 5
Table_9_Asset_ID 31466
Table_9_Weight 5
Table_10_Asset_ID 31462
Table_10_Weight 5
Table_11_Asset_ID 31394
Table_11_Weight 3
Table_12_Asset_ID 31395
Table_12_Weight 3
Table_13_Asset_ID 31903
Table_13_Weight 2
Table_14_Asset_ID 31902
Table_14_Weight 2
Table_15_Asset_ID 31402
Table_15_Weight 1
Table_16_Asset_ID 31400
Table_16_Weight 1
Table_17_Asset_ID 31398
Table_17_Weight 1
Table_18_Asset_ID 1015
Table_18_Weight 1
Table_19_Asset_ID 31399
Table_19_Weight 1
Table_20_Asset_ID 1016
Table_20_Weight 1
Table_21_Asset_ID 31397
Table_21_Weight 1
Table_22_Asset_ID 1017
Table_22_Weight 1
Table_23_Asset_ID 31396
Table_23_Weight 1
Table_24_Asset_ID 31401
Table_24_Weight 1
