GUID dcb4b10af72341cc980573f035152019
Type Gun
Useable Gun
Slot Primary
ID 26009

Magazine 26015

Ammo_Min 0
Ammo_Max 80

Auto

Caliber 26015

Range 1000
Firerate 3
Action Trigger

Player_Damage 200
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 1.0
Player_Skull_Multiplier 1.0

Zombie_Damage 200
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 1.0
Zombie_Skull_Multiplier 1.0

Animal_Damage 200
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 1.0
Animal_Skull_Multiplier 1.0

Barricade_Damage 9
Structure_Damage 9
Vehicle_Damage 22
Resource_Damage 24
Object_Damage 3

Invulnerable

Durability 1
Wear 3

Spread_Aim 0.5
Spread_Hip 0.005

Recoil_Min_X 0
Recoil_Min_Y 0
Recoil_Max_X 0
Recoil_Max_Y 0

Recover_X 1
Recover_Y 1

Ballistic_Drop 0.0003
Ballistic_Steps 1000

Spawn_Explosion_On_Dedicated_Server

Shake_Min_X 0
Shake_Min_Y 0
Shake_Min_Z 0
Shake_Max_X 0
Shake_Max_Y 0
Shake_Max_Z 0

Muzzle 4

Reload_Time 4
Turret
